Age,TTh,ATh,TAP,MAAT,FI,MIRI,PI,AADTT, pass Sieve 200 subgrade, pass Sieve 200 base_subbase,PCI
1.78,322.6,116.8,274,7.400000095,449,0.89,,,,,70.75
2.79,322.6,116.8,311.8999939,8.399999619,501,1.38,,,,,54.24
3.79,322.6,116.8,373.8999939,6.699999809,550,1.65,,,,,40.88
4.78,322.6,116.8,390.7000122,8.199999809,595,1.87,,,,,26.1
5.79,322.6,116.8,405.2999878,7.800000191,639,2.81,,,,,4.01
0.12,228.6,193,244.3000031,8.100000381,174,0.7,,,,,96.72
0.7,228.6,193,264.2999878,8.5,401,0.7,,,,,96.72
1.78,228.6,193,274,7.400000095,449,0.89,,,,,67.44
2.8,228.6,193,311.8999939,8.399999619,501,1.43,,,,,46.86
3.79,228.6,193,373.8999939,6.699999809,550,1.61,,,,,45.88
4.79,228.6,193,390.7000122,8.199999809,595,1.88,,,,,27.89
5.79,228.6,193,405.2999878,7.800000191,639,2.81,,,,,3.66
0.12,322.5,109.2,244.3000031,8.100000381,174,0.7,,,,,96.72
0.7,322.5,109.2,264.2999878,8.5,401,0.71,,,,,93.91
1.78,322.5,109.2,274,7.400000095,449,0.89,,,,,67.43
2.8,322.5,109.2,311.8999939,8.399999619,501,1.44,,,,,40.58
3.79,322.5,109.2,373.8999939,6.699999809,550,1.61,,,,,45.88
4.79,322.5,109.2,390.7000122,8.199999809,595,1.77,,,,,29.37
5.79,322.5,109.2,405.2999878,7.800000191,639,3.11,,,,,4.13
0.12,426.7,111.8,244.3000031,8.100000381,174,0.7,,,,,98.45
0.7,426.7,111.8,264.2999878,8.5,401,0.71,,,,,95.23
1.78,426.7,111.8,274,7.400000095,449,0.89,,,,,67.83
2.8,426.7,111.8,311.8999939,8.399999619,501,1.44,,,,,44.14
3.8,426.7,111.8,373.8999939,6.699999809,550,1.62,,,,,40.89
4.79,426.7,111.8,390.7000122,8.199999809,595,1.78,,,,,27.89
5.79,426.7,111.8,405.2999878,7.800000191,639,1.996000051,,,,,3.4
0.12,218.4,109.2,244.3000031,8.100000381,174,0.703,,,,,98.45
0.7,218.4,110.2,264.2999878,8.5,401,0.71,,,,,96.72
1.78,218.4,111.2,274,7.400000095,449,0.89,,,,,70.75
2.8,218.4,112.2,311.8999939,8.399999619,501,1.51,,,,,42.5
3.79,218.4,113.2,373.8999939,6.699999809,550,1.62,,,,,41.16
4.79,218.4,114.2,390.7000122,8.199999809,595,1.78,,,,,28.7
5.79,218.4,115.2,405.2999878,7.800000191,639,3.11,,,,,4.13
0.11,330.2,193,244.3000031,8.100000381,174,0.7,,,,,96.72
0.7,330.2,193,264.2999878,8.5,401,0.71,,,,,96.72
1.78,330.2,193,274,7.400000095,449,0.89,,,,,70.45
2.79,330.2,193,311.8999939,8.399999619,501,1.51,,,,,42.5
3.79,330.2,193,373.8999939,6.699999809,550,1.68,,,,,36.94
4.77,330.2,193,390.7000122,8.199999809,595,1.88,,,,,24.1
5.79,330.2,193,405.2999878,7.800000191,639,2.81,,,,,3.42
0.11,454.7,180.3,244.3000031,8.100000381,174,0.7,,,,,98.45
0.7,454.7,180.3,264.2999878,8.5,401,0.71,,,,,96.72
1.78,454.7,180.3,274,7.400000095,449,0.89,,,,,70.5
2.79,454.7,180.3,311.8999939,8.399999619,501,1.63,,,,,47.62
3.79,454.7,180.3,373.8999939,6.699999809,550,1.48,,,,,52.09
4.77,454.7,180.3,390.7000122,8.199999809,595,1.88,,,,,24.2
5.79,454.7,180.3,405.2999878,7.800000191,639,2.81,,,,,3.57
0.12,454.7,124.5,311.8999939,8.100000381,174,0.7,,,,,98.45
0.71,454.7,124.5,373.8999939,8.5,401,0.72,,,,,96.72
3.8,454.7,124.5,390.7000122,6.699999809,501,1.48,,,,,50.65
5.78,454.7,124.5,405.2999878,7.800000191,639,1.78,,,,,39.71
0.12,454.7,119.4,311.8999939,8.100000381,174,0.704,,,,,96.72
0.71,454.7,119.4,373.8999939,8.5,401,0.704,,,,,96.72
3.8,454.7,119.4,390.7000122,6.699999809,501,1.03,,,,,66
5.77,454.7,119.4,405.2999878,7.800000191,639,1.55,,,,,41.79
0.12,454.7,121.9,312,8.100000381,174,0.7,,,,,98.45
0.71,454.7,121.9,374,8.5,401,0.71,,,,,96.72
3.8,454.7,121.9,501,6.699999809,501,1.03,,,,,66
5.77,454.7,121.9,405,7.800000191,639,1.54,,,,,41.8
9.8,454.7,121.9,373.8999939,6.900000095,483,1.58,,,,,40.8
10.8,454.7,121.9,387.8999939,6.699999809,501,1.59,,,,,39.2
11.79,454.7,121.9,390.7000122,7,613,1.81,,,,,35.92
12.81,454.7,121.9,405.2999878,7,626,1.87,,,,,21.53
13.79,454.7,121.9,416.2000122,8.399999619,628,1.92,,,,,18.5
14.8,454.7,121.9,462.2000122,7.900000095,639,2.01,,,,,17.04
